Product Name,Grade,Generic Polymer Type,Generic Polymer Symbol,Density,Polymer Code,Tensile Strength at Yield,Melting Temperature,Flexural Modulus,Flexural Strength,Tensile Modulus,Glass Transition Temperature,Melt Mass-Flow Rate (MFR)
TRIPET®,NP2559GN30,Polyethylene Terephthalate,PET,1.58,PET,127.0,,981.0,,,,60.0
SAXAPLAST™,PET-01 BTI K-N001,Polyethylene Terephthalate,PET,1.37,PET,,,,,2400.0,,
KumhoSunny PET,HEG3615,Polyethylene Terephthalate,PET,1.55,PET-GF15,,,9500.0,185.0,,,40.0
KumhoSunny PET,HEG3620NH,Polyethylene Terephthalate,PET,1.6,PET-GF20-FR,,,6500.0,180.0,,,
KumhoSunny PET,HEG3645,Polyethylene Terephthalate,PET,1.71,PET-GF45,,,16000.0,220.0,,,25.0
Shinite®,T102G30NA TH8001,Polyethylene Terephthalate,PET,1.66,PET-GF30-FR,,253.0,9200.0,181.0,,,
Skyrol®,SH37,Polyethylene Terephthalate,PET,,PET,,,,,,,
Skyrol®,SH62,Polyethylene Terephthalate,PET,1.4,PET,,,,,,,
Skyrol®,SL10,Polyethylene Terephthalate,PET,1.4,PET,,,,,,,
Skyrol®,SM40,Polyethylene Terephthalate,PET,1.4,PET,,,,,,,
Skyrol®,SP19N,Polyethylene Terephthalate,PET,1.32,PET,,,,,,,
Skyrol®,SR50,Polyethylene Terephthalate,PET,1.4,PET,,,,,,,
PRIMALENE,WPP04PET,Polyethylene Terephthalate,PET,,PET,,,,,,,
RENATUS®,B3045FA,Polyethylene Terephthalate,PET,1.7,PET-GF45,,,15500.0,265.0,,,
RENATUS®,BN9030,Polyethylene Terephthalate,PET,1.66,PET-GF30-FR,139.0,,10100.0,214.0,,,
RENATUS®,C3015FA,Polyethylene Terephthalate,PET,1.47,PET-GF15,,,6300.0,168.0,,,
RENATUS®,RH030,Polyethylene Terephthalate,PET,1.61,PET-GF30,,,10300.0,230.0,,,
RENATUS®,RH045,Polyethylene Terephthalate,PET,1.75,PET-GF45,,,16600.0,273.0,,,
Beetle,PET CLEAR 100,Polyethylene Terephthalate,PET,1.36,PET,,258.0,,,,,
Nemcon™ E,PET 30131,Polyethylene Terephthalate,PET,1.41,PET,52.0,,3090.0,,2550.0,,
neopet,78,Polyethylene Terephthalate,PET,,PET,,244.0,,,,,
neopet,AMO,Polyethylene Terephthalate,PET,,PET,,244.0,,,,,
neopet,Ultra,Polyethylene Terephthalate,PET,,PET,,251.0,,,,,
UNIPET®,PET,Polyethylene Terephthalate,PET,1.34,PET,84.1,,3380.0,121.0,3240.0,,
OCTAL PET,HF 01,Polyethylene Terephthalate,PET,,PET,,249.0,,,,,
OCTAL PET,HF R1,Polyethylene Terephthalate,PET,,PET,,249.0,,,,,
OCTAL PET,SG 02,Polyethylene Terephthalate,PET,,PET,,249.0,,,,,
Nan Ya PET,4410G3,Polyethylene Terephthalate,PET,1.53,PET-GF15-FR,108.0,250.0,5590.0,157.0,,,32.0
Nan Ya PET,4410G5,Polyethylene Terephthalate,PET,1.57,PET-GF25-FR,127.0,250.0,7850.0,216.0,,,23.0
Edgetek™,ET3400-8002 NHFR RS BK001,Polyethylene Terephthalate,PET,1.57,PET-GF30,,,11000.0,150.0,,,
PRECITE®,E GF 30 3 natural (8288),Polyethylene Terephthalate,PET,1.55,PET-GF30,,260.0,11800.0,270.0,10800.0,,
PRECITE®,E GF 30 black (7814),Polyethylene Terephthalate,PET,1.55,PET-GF30,,260.0,,,11000.0,,
PRIMATOP®,PET GP80,Polyethylene Terephthalate,PET,,PET,,246.0,,,,,
Adell PET,WL-37,Polyethylene Terephthalate,PET,1.62,PET-(GF+MD)35,,232.0,10300.0,169.0,,,
Adell PET,WR-36,Polyethylene Terephthalate,PET,1.55,PET-GF30,,232.0,8960.0,231.0,,,
Arnite®,A02 307,Polyethylene Terephthalate,PET,1.16,PET,58.0,255.0,,,2500.0,,
Arnite®,A06 700,Polyethylene Terephthalate,PET,1.4,PET,50.0,255.0,,,2250.0,,
Arnite®,AV2 365 SN,Polyethylene Terephthalate,PET,1.75,PET-GF35-FR,,255.0,,,13500.0,,
Arnite®,AV2 370 XL,Polyethylene Terephthalate,PET,1.66,PET-GF35,,255.0,,,13000.0,,
Arnite®,AV2 390,Polyethylene Terephthalate,PET,1.78,PET-GF50,,255.0,17500.0,330.0,19000.0,,
Arnite®,AV2 390 XT,Polyethylene Terephthalate,PET,1.81,PET-GF50,,255.0,,,18500.0,,
Eastar™,EN058 Natural,Polyethylene Terephthalate,PET,1.33,PET,58.0,,2400.0,,,,
DSR,TL-104,Polyethylene Terephthalate,PET,,PET,,245.0,,,,,
DSR,TL-2060,Polyethylene Terephthalate,PET,,PET,,,,,,,
DSR,TLE-101,Polyethylene Terephthalate,PET,,PET,,245.0,,,,,
Delta,PETR-1G60,Polyethylene Terephthalate,PET,1.56,PET-GF30,145.0,,9650.0,,,,
Laser+®,C (E61A),Polyethylene Terephthalate,PET,,PET,,246.0,,,,,
Laser+®,GP 2400 (B12A),Polyethylene Terephthalate,PET,,PET,,243.0,,,,,
Array™,9921M,Polyethylene Terephthalate,PET,,PET,,238.0,,,,,
LONGLITE® PET,9130-104,Polyethylene Terephthalate,PET,1.7,PET-GF30,,254.0,10000.0,195.0,11500.0,,25.0
Rynite®,408 BK515,Polyethylene Terephthalate,PET,1.49,PET-I-GF30,,250.0,8000.0,,9300.0,60.0,
Rynite®,550HTE BK503,Polyethylene Terephthalate,PET,1.75,PET-GF50,,251.0,16000.0,280.0,18000.0,95.0,
Rynite®,935 BK505,Polyethylene Terephthalate,PET,1.58,PET-(GF+MD)35,,252.0,9300.0,130.0,10000.0,,
Rynite®,FG530 NC011,Polyethylene Terephthalate,PET,1.57,PET-GF30,,257.0,,,10000.0,90.0,
Rynite®,FR515 NC010,Polyethylene Terephthalate,PET,1.53,PET-GF15-FR,,254.0,5900.0,170.0,6800.0,90.0,
Rynite®,RE5264 NC010,Polyethylene Terephthalate,PET,1.66,PET-GF35,,247.0,12000.0,280.0,14000.0,,9.0
Celstran®,CFR-TP PET GF60-10,Polyethylene Terephthalate,PET,1.84,PET-GF,,245.0,35000.0,770.0,32800.0,,
Ultrafuse,PET,Polyethylene Terephthalate,PET,1.33,PET,,,2060.0,66.7,1930.0,71.0,
Ultrafuse,PET CF15,Polyethylene Terephthalate,PET,1.37,PET-CF15,,245.0,5450.0,108.0,6180.0,79.0,
Petra®,130,Polyethylene Terephthalate,PET,1.55,PET-GF30,,,8970.0,240.0,10200.0,,
Petra®,130 BK112,Polyethylene Terephthalate,PET,1.55,PET-GF30,,,8760.0,230.0,10200.0,,
Petra®,230 BK112,Polyethylene Terephthalate,PET,1.61,PET-(GF+MD)35,,,9050.0,180.0,11700.0,,
Petra®,7010 BK5830,Polyethylene Terephthalate,PET,1.44,PET-GF15,,,6300.0,,,,
Bangkok PET,V080P,Polyethylene Terephthalate,PET,,PET,,249.0,,,,,
4PET®,9L32320 HL,Polyethylene Terephthalate,PET,1.48,PET-(GF+GB)20-L,,250.0,,,6500.0,,
Mfinity™,S8300-PETX-TR,Polyethylene Terephthalate,PET,,PET,,,,,,,
TEKASTER™,F615G55,Polyethylene Terephthalate,PET,1.77,PET-GF55,,,17900.0,289.0,,,
Matrixx,80S7301,Polyethylene Terephthalate,PET,1.56,PET-GF30,145.0,,8620.0,,,,
BESTDUR,PXG6/01,Polyethylene Terephthalate,PET,1.7,PET-GF30-FR-L,,,,,9500.0,,
Wankai,WK881,Polyethylene Terephthalate,PET,,PET,,241.0,,,,,
Yuyao PET,PETG20,Polyethylene Terephthalate,PET,1.35,PET-GF20-FR,,,6200.0,155.0,,,
Yuyao PET,PETG30,Polyethylene Terephthalate,PET,1.45,PET-GF30-FR,,,7500.0,180.0,,,
Tunhe PET,TH102C,Polyethylene Terephthalate,PET,1.39,PET,,245.0,,,,,
Tunhe PET,TH104,Polyethylene Terephthalate,PET,1.39,PET,,247.0,,,,,
Tunhe PET,TH105,Polyethylene Terephthalate,PET,1.39,PET,,250.0,,,,,
Kangxi®,PET-30GF,Polyethylene Terephthalate,PET,1.54,PET-GF30,,,7500.0,180.0,,,
VINPOL™,GP084,Polyethylene Terephthalate,PET,,PET,,245.0,,,,,
TYNEP®,E4450,Polyethylene Terephthalate,PET,1.25,PET-GF45,,,11700.0,248.0,,,
TYNEP®,E7350,Polyethylene Terephthalate,PET,1.38,PET-(GF+MD)35,,,7580.0,152.0,,,
RAMAPET®,A1,Polyethylene Terephthalate,PET,,PET,,246.0,,,,,
RAMAPET®,P184,Polyethylene Terephthalate,PET,1.39,PET,,,,,,75.0,
RAMAPET®,S1,Polyethylene Terephthalate,PET,,PET,,245.0,,,,,
Polyclear®,PET T-94,Polyethylene Terephthalate,PET,1.4,PET,,236.0,,,,,
RTP,1103 M 15 BLK,Polyethylene Terephthalate,PET,1.6,PET-(GF+MD)35,,,11000.0,200.0,12400.0,,
RTP,1108,Polyethylene Terephthalate,PET,1.68,PET-GF45,,,13800.0,265.0,16500.0,,
RTP,1199 X 117594 C,Polyethylene Terephthalate,PET,1.57,PET-GF30-FR,,,11900.0,123.0,13300.0,,
Relpet®,G5801,Polyethylene Terephthalate,PET,,PET,,,,,,,
PQS,MW,Polyethylene Terephthalate,PET,,PET,,248.0,,,,,
Prime PETG,14471,Polyethylene Terephthalate,PET,1.27,PET,53.1,,2140.0,,,,
PoliXL™,PETGF30N,Polyethylene Terephthalate,PET,1.55,PET-GF30,,,8620.0,231.0,10000.0,,
SUSTADUR®,PET FG blue,Polyethylene Terephthalate,PET,1.39,PET,85.0,255.0,,,3000.0,,
VERDANT™,PCRPT076,Polyethylene Terephthalate,PET,,PET,,,,,,,
VERDANT™,PCRPT080 Series,Polyethylene Terephthalate,PET,,PET,,122.0,,,,,
VERDANT™,PCRPT082,Polyethylene Terephthalate,PET,,PET,,,,,,,
VINPOL™,PT101,Polyethylene Terephthalate,PET,1.39,PET,,240.0,,,,,
HiFill®,PET GF15 X BK,Polyethylene Terephthalate,PET,1.43,PET-GF15,,248.0,5340.0,96.5,,,
HiFill®,PET GF55 2000,Polyethylene Terephthalate,PET,1.8,PET-GF55,,254.0,17200.0,303.0,,,
