Product Name,Grade,Generic Polymer Type,Generic Polymer Symbol,Density,Tensile Strength at Yield,Flexural Modulus,Flexural Strength,Tensile Modulus,Glass Transition Temperature,Melt Mass-Flow Rate (MFR)
Innova,HIPS RT 441M,"Polystyrene, High Impact",PS (HIPS),1.04,,,45.0,2000.0,,6.5
Unigel PS,U287,"Polystyrene, General Purpose",PS (GPPS),1.04,,,,3250.0,,3.5
Unigel PS,U8878,"Polystyrene, High Impact",PS (HIPS),1.04,23.0,,,2000.0,,6.0
Unigel PS,U8884,"Polystyrene, High Impact",PS (HIPS),1.04,19.0,,,1600.0,,2.9
TYNELOY®,NA3210,Polyphenylene Ether + PS,PPE+PS,1.05,31.0,1720.0,48.3,,,
TYNELOY®,NA4200,Polyphenylene Ether + PS,PPE+PS,1.22,96.5,5170.0,124.0,,,
TYNELOY®,NAV260,Polyphenylene Ether + PS,PPE+PS,1.07,65.5,2480.0,92.4,,,
Latilub,30/R-07GRT,"Polystyrene, General Purpose",PS (GPPS),1.08,,,,2280.0,,
ALPHALAC,SG970,"Polystyrene, High Impact",PS (HIPS),1.05,35.3,2550.0,53.9,,,6.5
Kumho PS,GP 125,"Polystyrene, General Purpose",PS (GPPS),1.04,42.2,2860.0,,,,9.0
Kumho PS,GP 150E,"Polystyrene, General Purpose",PS (GPPS),1.04,53.9,3430.0,,,,2.5
Kumho PS,HI 425,"Polystyrene, High Impact",PS (HIPS),1.03,24.5,1660.0,,,,10.0
Kumho PS,HI 450W,"Polystyrene, High Impact",PS (HIPS),1.03,27.5,1620.0,,,,6.0
Kumho EPS,EPOR 30 I,"Polystyrene, Expanded",PS (EPS),0.02,,,,,,
Kumho EPS,SEPS N16,"Polystyrene, Expanded",PS (EPS),0.02,,,,,,
Kumho EPS,SEPS N30,"Polystyrene, Expanded",PS (EPS),0.02,,,,,,
Idemitsu PS,NS-100,"Polystyrene, High Impact",PS (HIPS),1.11,30.0,2450.0,47.0,,,7.7
Idemitsu PS,SEHI-101,"Polystyrene, High Impact",PS (HIPS),1.15,24.0,2180.0,41.0,,,4.4
Styrolution PS,1080,"Polystyrene, General Purpose",PS (GPPS),1.04,,2950.0,85.0,2650.0,,2.8
Styrolution PS,124N/L,"Polystyrene, General Purpose",PS (GPPS),1.04,50.0,3400.0,80.0,3200.0,,
Styrolution PS,1441,"Polystyrene, General Purpose",PS (GPPS),1.04,,2850.0,65.0,2600.0,,8.0
Styrolution PS,158N/L,"Polystyrene, General Purpose",PS (GPPS),1.04,55.0,2050.0,103.0,3300.0,,
Styrolution PS,4241,"Polystyrene, High Impact",PS (HIPS),1.04,25.0,2150.0,40.0,1900.0,,3.5
Styrolution PS,495F,"Polystyrene, High Impact",PS (HIPS),1.05,26.0,2100.0,40.0,2000.0,,
Styrolution PS,5400/5401,"Polystyrene, High Impact",PS (HIPS),1.04,20.3,1860.0,41.6,1860.0,,3.0
Styrolution PS,5600/5601,"Polystyrene, High Impact",PS (HIPS),1.04,22.3,1860.0,39.7,1860.0,,8.0
Styrolution PS,6210/6211,"Polystyrene, High Impact",PS (HIPS),1.04,23.4,2000.0,48.3,2000.0,,2.9
Styrolution PS,6351,"Polystyrene, High Impact",PS (HIPS),1.04,30.0,2100.0,50.0,2100.0,,3.5
Styrolution PS,7120,"Polystyrene, High Impact",PS (HIPS),1.04,20.3,1760.0,44.1,1790.0,,2.3
ECOmpoundS®,1705005,"Polystyrene, General Purpose",PS (GPPS),1.05,,1750.0,,,,7.0
Kingfa,FRHIPS-722,"Polystyrene, General Purpose",PS (GPPS),1.09,,2200.0,44.0,,,5.0
Kingfa,FRHIPS-930,"Polystyrene, General Purpose",PS (GPPS),1.16,,2200.0,38.0,,,10.0
Kingfa,FRHIPS-980,"Polystyrene, General Purpose",PS (GPPS),1.15,,2000.0,35.0,,,8.0
Kingfa,HIPS-5197,"Polystyrene, High Impact",PS (HIPS),1.04,,2100.0,40.0,,,5.0
Jamplast,JPGPPSHH,"Polystyrene, General Purpose",PS (GPPS),1.04,53.1,3150.0,105.0,2920.0,,1.5
Jamplast,JPHIPSI,"Polystyrene, High Impact",PS (HIPS),1.05,29.4,2210.0,,,,7.5
Stirol,UPM-0508 (extra),"Polystyrene, High Impact",PS (HIPS),,,,,,,4.0
